CONSECUTIVO,ESTABLECIMIENTO,CIUDADMUNICIPIO,DIRECCION,PRODUCTOSELABORADOS,FECHACERTIFICACION
72,C.I. CASTAÑO Y HOYOS LTDA,PEREIRA,CARRERA 12  # 13 E - 48,"SALSA DE GUACAMOLE CON PICANTE, SALSA DE GUACAMOLE SIN PICANTE, SALSA A BASE DE MAYONESA CON ESPECIES, SALSA WINGS, SALSA ESPECIAL, SALSA SABOR QUESO AZUL, CHIMICHURRI BLANCO, SALSA CON SABOR A AJO, SALSA DE TOMATE.",02/21/2012 12:00:00 AM
73,PANIFICADORA EL COUNTRY,BOGOTA,CARRERA 23  # 164 - 36,"PAN, GALLETAS, HOJALDRADOS, TOSTADOS Y PONQUE.",12/09/2011 12:00:00 AM
74,AGROINDUSTRIAS LAS MARGARITAS,TIBASOSA,CALLE 4 # 9 - 92,FABRICACIÓN Y COMERCIALIZACIÓN DE DULCAES Y FRUTAS,11/25/2011 12:00:00 AM
75,COLOMBINA S.A.,ZARZAL,LA PAILA,"CHOCOLATES, MASMELOS, DULCES (DUROS Y BLANDOS) GOMAS, CHUPETAS, SNACKS Y CHICLES / GALLETAS EN TODAS SUS VARIEDADES.",08/23/2011 12:00:00 AM
76,DSM NUTRITIONAL PRODUCTS COLOMBIA S.A.,TOCANCIPA,"PARQUE INDUSTRIAL TIBITOC KILOMETRO 2,4 VIA BRICEÑO - ZIPAQUIRA COSTADO DERECHO BODEGAS 41B Y 42B",FABRICACIÓN  DE PREMEZCLAS CON VITAMINAS Y MINERALES PARA USO EN ALIMENTOS DE CONSUMO HUMANO,07/26/2011 12:00:00 AM
77,COOPERATIVA COLANTA,FUNZA,CARRERA 11  # 11 - 02 BARRIO SERREZUELITA,": LECHE PASTEURIZADA, LECHE ULTRA ALTA TEMPERATURA UAT (UHT), CREMA DE LECHE PASTEURIZADA Y ULTRAPASTEURIZADA, LECHES SABORIZADAS UHT Y BEBIDA LÁCTEA A BASE DE AVENA UHT.",07/19/2011 12:00:00 AM
78,ALIMENTOS DEL VALLE S.A. - ALIVAL S.A.,CALOTO,"PARQUE INDUSTRIAL Y COMERCIAL DEL CAUCA, ETAPA 2 LOTE 5 LA SOFIA","LECHE ULTRAPASTEURIZADA; LECHE UAT(UHT) ENTERA FORTIFICADA CON Y SIN SABORES; LECHE PASTEURIZADA; BEBIDA A BASE DE LECHE ENTERA CON AVENA UAT (UHT), BEBIDA LACTEA ENRIQUECIDA CON VITAMINAS; MANTEQUILLA Y CREMA DE LECHE PASTEURIZADA",09/24/2010 12:00:00 AM
79,COLOMBINA S.A. SANTANDER DE QUILICHAO,SANTANDER DE QUILICHAO,PARQUE INDUSTRIAL EL PARAISO KM. 2 VIA SAN JULIAN,"GALLETAS EN TODAS SUS VARIEDADES, PASTELES Y PRODUCTOS HORNEADOS",09/10/2010 12:00:00 AM
80,C.I. NATURMEGA S.A,BARRANQUILLA,CALLE 80  # 78B - 201,"ACIDOS GRASOS OMEGA 3 EN FORMA DE TRIGLICERIDOS, ETIL ESTER Y ACIDOS GRASOS LIBRES A PARTIR DE ACEITE DE PESCADO ESPECIALMENTE ANCHOVETA (ENGRAULIS RINGENS)",04/23/2010 12:00:00 AM
81,FRUTALIA DE COLOMBIA LTDA.,TUNJA,AVENIDA NORTE # 71 - 128,"AROMÁTICAS DE FRUTAS, MEZCLA DE CITRICOS, MEZCLA DE FRUTOS ROJOS, MEZCLA DE FRUTAS CON EXTRACTOS DE HIERBA CON ALBAHACA, HIERBABUENA, LIMONARIA, MENTA Y ANIS, AROMÁTICAS DE FRUTOS LIGHT BAJO EN CALORÍAS.",12/21/2009 12:00:00 AM
82,INDUSTRIA ALIMENTICIA SAN JUAN,BOGOTA,DIAGONAL 42 SUR  # 24B-20,"SALCHICHAS, HAMBURGUESAS, JAMONES, CHORIZOS, SALCHICHÓN, MORTADELAS, QUESO DE CABEZA, GALLINA RELLENA, CABANO Y TOCINETA",11/25/2009 12:00:00 AM
83,LLOREDA S.A.,YUMBO,CALLE 15  # 28 - 370,ACEITES COMESTIBLES PARA CONSUMO MASIVO E INDUSTRIAL; MARGARINA Y ESPARCIBLES PARA CONSUMO MASIVO E INSTITUCIONAL; GRASAS COMESTIBLES (MANTECAS) PARA CONSUMO MASIVO Y USO INDUSTRIAL; SALSAS Y ADEREZOS,03/12/2009 12:00:00 AM
84,PRODUCTOS LACTEOS EL RECREO S.A.,ZIPAQUIRA,"KILOMETRO 1 VIA ZIPAQUIRA NEMOCON, VEREDA SUSAGUA",PRODUCTOS ULTRAPASTEURIZADOS UAT (UHT),12/23/2008 12:00:00 AM
85,NESTLE DE COLOMBIA S.A,BUGALAGRANDE,CALLE 2  # 1- 463,1) FABRICACIÓN DE PRODUCTOS ALIMENTICIOS PARA LOS PRODUCTOS DE LA LINEA DE FABRICACIÓN DE CAFÉS,07/29/2008 12:00:00 AM
86,ALBERTO IGNACIO CASTAÑO Y/O HELADOS IGLÚ,DOSQUEBRADAS,CALLE 8 # 17-38 VILLA FANNY ZONA INDUSTRIAL LA POPA,"DEDICADA A LA PRODUCCIÓN, DISTRIBUCIÓN Y VENTA DE HELADOS, PALETAS, VASITOS, CHOCOCONOS Y CREMAS POR LITROS. PARA LOS PRODUCTOS HELADOS, PALETAS, VASITOS, CONOS Y CREMAS POR LITROS.",06/13/2007 12:00:00 AM
87,DANISCO COLOMBIA LTDA - PLANTA MARSCHALL,BOGOTA,CARRERA 90A # 64C -54,"DEDICADA A LA IMPORTACIÓN, EXPORTACIÓN, PRODUCCIÓN Y COMERCIALIZACIÓN DE INGREDIENTES PARA LA INDUSTRIA ALIMENTICIA PARA EL PRODUCTO CUAJO MARSCHALL.",06/08/2007 12:00:00 AM
88,DPA MANUFACTURING COLOMBIA LTDA.,VALLEDUPAR,CARRERA 9  # 6 C -01,"DEDICADA A LA FABRICACIÓN DE LECHE EN POLVO. PARA LOS PRODUCTOS LECHE EN POLVO, LECHE EN POLVO SEMIELABORADA (BUFFER Y MILO) Y LECHE EN POLVO ENTERA PARA EXPORTACIÓN.",05/11/2007 12:00:00 AM
89,GRUPO CBC S.A.,BOGOTA,CALLE 21 # 66 - 30,POLLO ADOBADO; CARNES; SALSAS Y BEBIDAS,03/13/2007 12:00:00 AM
90,NESTLE DE COLOMBIA S.A,BUGALAGRANDE,CALLE 2  # 1- 463,2) FABRICACIÓN Y COMERCIALIZACIÓN DE PRODUCTOS ALIMENTICIOS  PARA EL PRODUCTO BEBIDA A BASE DE MALTA Y COCOA MARCA MILO.,03/09/2007 12:00:00 AM
91,ALMACENES EXITO SA,ITAGUI,CARRERA 50A  # 41-42,"CARNES ROJAS, POLLO, PESCADO, PANADERÍA Y REPOSTERÍA, COMIDAS PREPARADAS, CHARCUTERÍA, FRUTAS Y VERDURAS.",03/09/2006 12:00:00 AM
92,FABRICA DE ESPECIAS Y PRODUCTOS EL REY SA,BOGOTA,CARRERA 68G # 43C 30 SUR,"PASTAS, SALSAS Y GUISOS ALIMENTICIOS.",12/21/2005 12:00:00 AM
93,OMNILIFE MANUFACTURA DE COLOMBIA,CALOTO,"PARQUE INDUSTRIAL Y COMERCIAL DEL CAUCA, ETAPA I, KILOMETRO 2","ALIMENTOS EN POLVO CON VITAMINAS, MINERALES Y OTROS NUTRIENTES",10/07/2005 12:00:00 AM
94,ALMACENES EXITO SA,BOGOTA,CALLE 134  # 14-51,"CARNES ROJAS, POLLO, PESCADO, PANADERÍA Y REPOSTERÍA, COMIDAS PREPARADAS, CHARCUTERÍA, FRUTAS Y VERDURAS.",09/09/2005 12:00:00 AM
95,ALIMENTOS SPRESS LTDA,BOGOTA,CARRERA 94 # 66A 35,"PAN ; TORTAS, GALLETAS; MANTECADAS (BPM) Y ENSAMBLE DE REFRIGERIOS / PANADERIA PASTELERIA, BISCOCHERÍA.",07/28/2005 12:00:00 AM
96,BAVARIA & CIA S.C.A,TIBASOSA,KILOMETRO 4 VIA DUITAMA - SOGAMOSO,AGUAS DE MESA Y MALTA,12/15/2004 12:00:00 AM
97,ALMACENES EXITO SA,BOGOTA,AVENIDA CENTENARIO # 106 -104,VENTA Y ELABORACIÓN DE PRODUCTOS (HIPERMERCADO),11/04/2004 12:00:00 AM
98,INDUSTRIA DE HARINAS TULUÁ LTDA,TULUA,CARRERA 28  # 32 - 54,PRODUCCION DE HARINA Y SUS DERIVADOS,04/15/2004 12:00:00 AM
