CONSECUTIVO,ESTABLECIMIENTO,CIUDADMUNICIPIO,DIRECCION,PRODUCTOSELABORADOS,FECHACERTIFICACION
17,GASEOSAS LUX S.A.S,BOGOTA,AVENIDA CALLE 9 # 50-85,"AGUA POTABLE TRATADA CON GAS, BEBIDAS GASEOSAS, BEBIDAS CON JUGO DE NARANJA, REFRESCO DE FRUTA PASTEURIZADA, NECTAR DE FRUTA PASTEURIZADA, BEBIDA DE TED, BIBIDA ENERGENIZANTE, REFRESCO DE FRUTA CON GAS, BEBIDA LIGERAMENTE GASIFICADA LIBRE DE CALORIAS",02/16/2018 12:00:00 AM
18,GASEOSAS POSADA TOBON S.A - YUMBO,YUMBO,CALLE 15 # 25A-86,"AGUA POTABLE TRATADA PARA EL CONSUMO HUMANO, BEBIDAS GASEOSAS, BEBIDAS CON JUGO DE NARANJA, REFRESCO DE FRUTO Y BEBIDAS CON TÉ",02/09/2018 12:00:00 AM
19,PASTEURIZADORA SANTODOMINGO S.A,SIMIJACA,CARRERA 8 # 10-66 CENTRO,"LECHE UAT(UHT) ENTERA, DESCREMADA DESLATOSADA,SEMIDESCREMADA DESLATOSADA, BEBIDA CON LECHE Y AVENA UAT(UHT), LECHE ENTERA UAT (UHT) CON SABORES, ALIMENTO LACTEO UAT (UHT), BEBIDA LACTEA UAT(UHT)",02/09/2018 12:00:00 AM
20,PASTAS COMARRICO S.A.S,BARRANQUILLA,CALLE 39 # 51-58 VIA CUARENTA,PASTAS ALIMENTICIAS,02/09/2018 12:00:00 AM
21,GASEOSAS HIPINTO S.A.S,PIEDECUESTA,KILOMETRO 3 VIA GUATIGUARA,"AGUA POTABLE TRATADA PARA EL CONSUMO HUMANO, BIBIDAS GASEOSAS, BEBIDAS CON JUGO DE NARANJA",02/02/2018 12:00:00 AM
22,GESTION CARGO ZONA FRANCA - GC NUTRITION SAS,CARTAGENA,"ZONA FRANCA LA CANDELARIA, MAMONAL KILOMETRO 9, SECTOR COSPIQUE","ALIMENTOS EN POLVO CON PROTEINA, FIBRA, VITAMINA Y MINERALES CON SABORES",01/26/2018 12:00:00 AM
23,GASEOSA POSADA TOBON S.A POSTOBON S.A,MALAMBO,AVENIDA OLIVARES KILOMETRO 3-500 VIA SABANAGRANDE,"AGUA POTABLE TRATADA, BEBIDAS GASEOSAS, BEBIDA CON TE, REFRESCO DE FRUTAS Y BEBIDA CON JUGO DE FRUTA",12/14/2017 12:00:00 AM
24,BOYDORR NUTRITION S.A.S,COTA,"PREDIO SAN RAFAEL VEREDA VUELTA GRANDE, ZONA FRANCA METROPOLITANA BODEGA 9","ALIMENTOS EN POLVO PARA USOS ESPECIALES, ALIMENTOS EN POLVO A BASE  DE MALTODEXTINA, ALMIDO DE MAIZ MODIFICADO, MEZCLA EN POLVO PARA PREPARAR BEBIDA",12/07/2017 12:00:00 AM
25,ALIMENTOS POLAR COLOMBIA S.A.S,FACATATIVA,KM 33 VIA FACATATIVA BARRIO CARTAGENITA,"HARINA PRECOCIDA DE MAIZ, AVENAS, PRODUCTOS LISTOS DE MAIZ, MEZCLAS",11/01/2017 12:00:00 AM
26,HARINERA DEL VALLE S.A,CALI,CARRERA 1A # 47-20 BARRIO SALOMIA,"PASTAS ALIMENTICIAS, PRE MEZCLAS ( PANCAKES, GALLETAS , BROUNIES, TORAS ), TORTILLAS DE TRIGO, HARINA PRECOCIDA DE MAIZ",09/27/2017 12:00:00 AM
